Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1705916682252,-4.6633983,-4.2394924,-7.474097,0.0,0.0,0.0
1705916682262,-4.6633983,-4.2394924,-7.474097,8.1183657E-4,0.0026814875,-9.937831E-4
1705916682429,-4.647477,-4.243276,-7.4876347,8.1183657E-4,0.0026814875,-9.937831E-4
1705916682439,-4.647477,-4.243276,-7.4876347,6.566079E-4,0.0031024755,-0.0018085332
1705916682738,-4.6081285,-4.268068,-7.4914193,6.566079E-4,0.0031024755,-0.0018085332
1705916682753,-4.6081285,-4.268068,-7.4914193,-7.9368416E-5,0.0021826208,-0.0020330537
1705916682916,-4.63901,-4.2757964,-7.5224767,-7.9368416E-5,0.0021826208,-0.0020330537
1705916682931,-4.63901,-4.2757964,-7.5224767,-1.9888114E-4,0.0024222485,-8.8817027E-4
1705916683172,-4.658244,-4.2999616,-7.4810014,-1.9888114E-4,0.0024222485,-8.8817027E-4
1705916683193,-4.658244,-4.2999616,-7.4810014,9.903805E-4,0.0017696175,-0.0020350334
1705916683486,-4.6575346,-4.2348933,-7.507511,9.903805E-4,0.0017696175,-0.0020350334
1705916683497,-4.6575346,-4.2348933,-7.507511,-1.5634531E-4,0.0028331438,-0.001359639
1705916683864,-4.644608,-4.2439947,-7.500473,-1.5634531E-4,0.0028331438,-0.001359639
1705916683870,-4.644608,-4.2439947,-7.500473,-1.6713995E-4,0.0019002757,-0.0013808463
1705916684098,-4.643038,-4.2645445,-7.4997153,-1.6713995E-4,0.0019002757,-0.0013808463
1705916684118,-4.643038,-4.2645445,-7.4997153,-8.9132506E-4,0.004030029,-7.601265E-4
1705916684364,-4.6707425,-4.2501974,-7.5151033,-8.9132506E-4,0.004030029,-7.601265E-4
1705916684378,-4.6707425,-4.2501974,-7.5151033,5.7354177E-5,0.0020125278,-4.3297117E-4
1705916684769,-4.6632614,-4.233049,-7.499757,5.7354177E-5,0.0020125278,-4.3297117E-4
1705916684787,-4.6632614,-4.233049,-7.499757,2.8126303E-4,0.002552246,-8.510163E-4
1705916684998,-4.6386337,-4.2518477,-7.5018187,2.8126303E-4,0.002552246,-8.510163E-4
1705916685012,-4.6386337,-4.2518477,-7.5018187,1.1676771E-4,0.0021724154,-0.0016839716
1705916685315,-4.6520667,-4.2586217,-7.497831,1.1676771E-4,0.0021724154,-0.0016839716
1705916685329,-4.6520667,-4.2586217,-7.497831,7.4562535E-4,0.0025528034,-0.0011119078
1705916685718,-4.6822824,-4.268429,-7.52372,7.4562535E-4,0.0025528034,-0.0011119078
1705916685727,-4.6822824,-4.268429,-7.52372,9.5003156E-4,0.0012266766,-0.0015686536
1705916685896,-4.6487064,-4.263091,-7.517777,9.5003156E-4,0.0012266766,-0.0015686536
1705916685905,-4.6487064,-4.263091,-7.517777,-5.803588E-4,0.0033755272,-0.0015651274
1705916686161,-4.61785,-4.2531815,-7.496728,-5.803588E-4,0.0033755272,-0.0015651274
1705916686172,-4.61785,-4.2531815,-7.496728,7.2732844E-5,0.0033415456,-4.0275822E-4
1705916686469,-4.6565614,-4.2469378,-7.4938426,7.2732844E-5,0.0033415456,-4.0275822E-4
1705916686482,-4.6565614,-4.2469378,-7.4938426,-2.822751E-4,0.0016048299,4.906334E-5
1705916686826,-4.6717525,-4.263297,-7.4969916,-2.822751E-4,0.0016048299,4.906334E-5
1705916686839,-4.6717525,-4.263297,-7.4969916,-1.8192519E-4,0.0038875756,-8.5485855E-4
1705916687057,-4.6388,-4.275898,-7.5181155,-1.8192519E-4,0.0038875756,-8.5485855E-4
1705916687072,-4.6388,-4.275898,-7.5181155,-5.5449654E-4,0.0029612705,-9.806228E-4
1705916687381,-4.641275,-4.236877,-7.5144625,-5.5449654E-4,0.0029612705,-9.806228E-4
1705916687395,-4.641275,-4.236877,-7.5144625,-1.09198765E-4,0.0033448813,-4.5689355E-4
1705916687762,-4.645175,-4.2231545,-7.471532,-1.09198765E-4,0.0033448813,-4.5689355E-4
1705916687774,-4.645175,-4.2231545,-7.471532,6.1468163E-4,0.0024232252,-0.0013452522
1705916687978,-4.6478634,-4.2395754,-7.4783454,6.1468163E-4,0.0024232252,-0.0013452522
1705916687992,-4.6478634,-4.2395754,-7.4783454,-2.875447E-4,0.0017680831,-0.0013170599
1705916688306,-4.6336255,-4.2647624,-7.4949255,-2.875447E-4,0.0017680831,-0.0013170599
